problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,feature_thresholds,insufficient_data
10,0.992,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5308072865009308), 'urm_scores': np.float64(0.5183485150337219), 'offset_bias_scores': np.float64(0.5371928215026855), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.4218415468931198), 'gpm_scores': np.float64(0.4924550950527191), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.4606110155582428), 'qrm_scores': np.float64(0.5795354843139648), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.3062266707420349), 'skyworks_scores': np.float64(0.5880149602890015)}",False
11,0.968,0,0.0,0.0,0.0,0,0,1,1,"{'grm_llama32_scores': np.float64(0.7917351722717285), 'gpm_scores': np.float64(0.645803838968277), 'offset_bias_scores': np.float64(0.8604350686073303), 'internlm_scores': np.float64(0.7018530666828156), 'urm_scores': np.float64(0.7313840091228485), 'qrm_scores': np.float64(0.7968225181102753), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.7706338614225388), 'skyworks_scores': np.float64(0.7726648449897766), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.8317588567733765), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
12,0.996,1,1.0,1.0,1.0,1,0,0,0,"{'grm_scores': np.float64(0.35978052020072937), 'offset_bias_scores': np.float64(0.40074779093265533), 'grm_gemma_scores': np.float64(0.5273917615413666), 'grm_llama32_scores': np.float64(0.6087755262851715), 'gpm_scores': np.float64(0.6514621078968048), 'skyworks_scores': np.float64(0.5895372033119202), 'urm_scores': np.float64(0.6754681169986725), 'qrm_scores': np.float64(0.7075001001358032), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'internlm_scores': np.float64(0.7400000095367432)}",False
13,0.974,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.560239776968956), 'gpm_scores': np.float64(0.5451070368289948), 'grm_scores': np.float64(0.6624513566493988), 'urm_scores': np.float64(0.7454166412353516), 'offset_bias_scores': np.float64(0.7177784740924835), 'grm_llama32_scores': np.float64(0.6722434759140015), 'qrm_scores': np.float64(0.6946755200624466), 'skyworks_scores': np.float64(0.6699561476707458), 'grm_gemma_scores': np.float64(0.7065190374851227), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
14,0.956,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5952599346637726), 'gpm_scores': np.float64(0.5409232378005981), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.6711019277572632), 'grm_llama32_scores': np.float64(0.7578148543834686), 'qrm_scores': np.float64(0.828050971031189), 'offset_bias_scores': np.float64(0.6815192997455597), 'grm_scores': np.float64(0.6304050236940384), 'grm_gemma_scores': np.float64(0.7490763366222382), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7727987468242645), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
15,0.864,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.7046974301338196), 'grm_scores': np.float64(0.6273843944072723), 'offset_bias_scores': np.float64(0.7829633057117462), 'qrm_scores': np.float64(0.772566944360733), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7696488350629807), 'grm_llama32_scores': np.float64(0.6332902610301971), 'urm_scores': np.float64(0.700237900018692), 'gpm_scores': np.float64(0.49671612679958344), 'grm_gemma_scores': np.float64(0.7728989720344543), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
16,0.96,0,0.0,0.0,0.0,0,0,1,1,"{'internlm_scores': np.float64(0.678065687417984), 'gpm_scores': np.float64(0.6159177422523499), 'grm_scores': np.float64(0.703691691160202), 'qrm_scores': np.float64(0.8515465557575226), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.8226047903299332), 'offset_bias_scores': np.float64(0.8954289853572845), 'grm_llama32_scores': np.float64(0.7684222757816315), 'urm_scores': np.float64(0.7572539448738098), 'grm_gemma_scores': np.float64(0.8439836800098419), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
17,0.782,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.7387326061725616), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'offset_bias_scores': np.float64(0.8649445176124573), 'qrm_scores': np.float64(0.8303738683462143), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.8081977963447571), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.7274084389209747), 'skyworks_scores': np.float64(0.8584835082292557), 'grm_gemma_scores': np.float64(0.8423740863800049), 'gpm_scores': np.float64(0.6610063016414642), 'urm_scores': np.float64(0.8299139142036438), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
18,0.972,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.4893193542957306), 'gpm_scores': np.float64(0.42979858815670013), 'urm_scores': np.float64(0.8046480417251587), 'offset_bias_scores': np.float64(0.6051434576511383), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7672253251075745), 'qrm_scores': np.float64(0.8363660722970963), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.4599691554903984), 'grm_gemma_scores': np.float64(0.7553011029958725), 'grm_llama32_scores': np.float64(0.7884073257446289), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
19,0.862,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.750603586435318), 'skyworks_scores': np.float64(0.7719696760177612), 'gpm_scores': np.float64(0.6077297031879425), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.7914927899837494), 'offset_bias_scores': np.float64(0.7903256714344025), 'grm_scores': np.float64(0.6944344341754913), 'grm_llama32_scores': np.float64(0.665031373500824), 'judge_llama-3.1-nemotron-70b-instruct-hf_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.7765579074621201), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.8066750466823578), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
20,0.764,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5963541567325592), 'grm_scores': np.float64(0.6009303331375122), 'offset_bias_scores': np.float64(0.764692485332489), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.5692940950393677), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7237494587898254), 'grm_llama32_scores': np.float64(0.5834825336933136), 'judge_gpt-4o_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.6842105388641357), 'grm_gemma_scores': np.float64(0.7130948305130005), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.6854160130023956), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
21,0.778,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5890355110168457), 'gpm_scores': np.float64(0.590917557477951), 'offset_bias_scores': np.float64(0.7236671149730682), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.680405393242836), 'grm_llama32_scores': np.float64(0.6098678708076477), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.6920497268438339), 'urm_scores': np.float64(0.6272813975811005), 'qrm_scores': np.float64(0.7216843515634537), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6395030319690704), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
22,0.998,1,1.0,1.0,1.0,1,0,0,0,"{'grm_llama32_scores': np.float64(0.5923194587230682), 'urm_scores': np.float64(0.6793700158596039), 'qrm_scores': np.float64(0.6300592124462128), 'gpm_scores': np.float64(0.2641737014055252), 'skyworks_scores': np.float64(0.6745762825012207), 'offset_bias_scores': np.float64(0.5007307231426239), 'grm_gemma_scores': np.float64(0.3658096641302109), 'internlm_scores': np.float64(0.7401168942451477), 'grm_scores': np.float64(0.4885324388742447), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
23,0.906,1,1.0,1.0,1.0,1,0,0,0,"{'grm_llama32_scores': np.float64(0.5548842400312424), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6261248290538788), 'qrm_scores': np.float64(0.7586866617202759), 'grm_gemma_scores': np.float64(0.6073116958141327), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.4062579572200775), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.6915584206581116), 'urm_scores': np.float64(0.6426192224025726), 'offset_bias_scores': np.float64(0.7199637442827225), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'internlm_scores': np.float64(0.43734119832515717), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
24,0.996,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.45731209218502045), 'urm_scores': np.float64(0.8072156012058258), 'qrm_scores': np.float64(0.7161363810300827), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.5624565929174423), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7986891269683838), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'offset_bias_scores': np.float64(0.7737356722354889), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.8253700882196426), 'gpm_scores': np.float64(0.6868627965450287), 'grm_gemma_scores': np.float64(0.7805093824863434), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
25,0.774,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.8685705363750458), 'internlm_scores': np.float64(0.7292647659778595), 'offset_bias_scores': np.float64(0.8138360977172852), 'grm_gemma_scores': np.float64(0.7493418306112289), 'grm_scores': np.float64(0.5374714881181717), 'grm_llama32_scores': np.float64(0.700691431760788), 'skyworks_scores': np.float64(0.8203125), 'gpm_scores': np.float64(0.691294401884079), 'urm_scores': np.float64(0.8624110072851181), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.1-nemotron-70b-instruct-hf_verdicts': np.float64(0.5)}",False
26,0.932,1,1.0,1.0,1.0,1,0,0,0,"{'grm_llama32_scores': np.float64(0.5193758010864258), 'gpm_scores': np.float64(0.5125409066677094), 'offset_bias_scores': np.float64(0.6153263747692108), 'grm_gemma_scores': np.float64(0.49253152310848236), 'skyworks_scores': np.float64(0.6680633127689362), 'qrm_scores': np.float64(0.7317609488964081), 'grm_scores': np.float64(0.44520097225904465), 'internlm_scores': np.float64(0.7767918556928635), 'urm_scores': np.float64(0.7440010458230972), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5)}",False
27,0.826,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5326378047466278), 'skyworks_scores': np.float64(0.8478260934352875), 'urm_scores': np.float64(0.7908497452735901), 'qrm_scores': np.float64(0.8221612721681595), 'grm_scores': np.float64(0.6361916214227676), 'gpm_scores': np.float64(0.533424586057663), 'grm_llama32_scores': np.float64(0.7881229370832443), 'offset_bias_scores': np.float64(0.7815234065055847), 'grm_gemma_scores': np.float64(0.8014368414878845), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
28,0.77,1,1.0,1.0,1.0,1,0,0,0,"{'grm_llama32_scores': np.float64(0.6444204151630402), 'internlm_scores': np.float64(0.6655945777893066), 'skyworks_scores': np.float64(0.714219331741333), 'qrm_scores': np.float64(0.8012109994888306), 'urm_scores': np.float64(0.7030659914016724), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.5497203469276428), 'grm_gemma_scores': np.float64(0.6411523073911667), 'gpm_scores': np.float64(0.6126396059989929), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'offset_bias_scores': np.float64(0.7047920823097229), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5)}",False
29,0.96,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6226176768541336), 'gpm_scores': np.float64(0.5811679363250732), 'offset_bias_scores': np.float64(0.5829070806503296), 'grm_gemma_scores': np.float64(0.5406408309936523), 'grm_scores': np.float64(0.47515301406383514), 'skyworks_scores': np.float64(0.6594929099082947), 'urm_scores': np.float64(0.6478008478879929), 'judge_gpt-4o_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.5997074544429779), 'grm_llama32_scores': np.float64(0.55849888920784), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.1-nemotron-70b-instruct-hf_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
